Summary
[Data Information]
Data is:	Measurement Data
Dataset Name:	RawData
Sample Name:	0.2g-20ml-PVB
Sample ID:	0.2g-20ml-PVB
Option
Analyst
Date/Time:	05/28/2025 03:52:28 PM
Comments
Parameter File Name:	200-800nm.vspm
Report File Name
[Software Information]
Software Name:	LabSolutions UV-Vis
Version:	1.14
[Instrument Information]
Instrument Name:	BNT
Instrument Type:	UV-1900 Series
Model (S/N):	SBN-SPEC-158 (A12425600028)

Parameter
[Measurement]
Start:	900 nm
End:	190 nm
Data Interval:	1.0
Scan Speed:	High speed
Spectrum Type:	Absorbance
[Accessories]
Accessories:	6-Series Multi-Cell
Number of Cell:	1
[Advanced]
Light Source Switch Wavelength:	340.00
S/R Switch:	Standard
[Repeat]
Repeat Measurement:	OFF
[Post-processing]
Spectrum Transformation:	OFF
Data Processing Table:	OFF
Print:	OFF

Wavelength (nm)	Absorbance
190.0	3.238
191.0	3.069
192.0	2.035
193.0	2.775
194.0	1.134
195.0	3.372
196.0	0.541
197.0	2.791
198.0	2.180
199.0	2.033
200.0	1.602
201.0	3.224
202.0	3.238
203.0	3.619
204.0	4.000
205.0	4.000
206.0	4.000
207.0	4.000
208.0	4.000
209.0	4.000
210.0	4.000
211.0	4.000
212.0	4.000
213.0	4.000
214.0	4.000
215.0	3.996
216.0	3.905
217.0	3.778
218.0	3.656
219.0	3.546
220.0	3.450
221.0	3.350
222.0	3.264
223.0	3.181
224.0	3.097
225.0	3.022
226.0	2.950
227.0	2.880
228.0	2.816
229.0	2.753
230.0	2.693
231.0	2.631
232.0	2.569
233.0	2.493
234.0	2.405
235.0	2.304
236.0	2.198
237.0	2.101
238.0	2.014
239.0	1.937
240.0	1.866
241.0	1.802
242.0	1.745
243.0	1.693
244.0	1.646
245.0	1.602
246.0	1.560
247.0	1.518
248.0	1.480
249.0	1.443
250.0	1.409
251.0	1.376
252.0	1.344
253.0	1.315
254.0	1.286
255.0	1.259
256.0	1.233
257.0	1.210
258.0	1.187
259.0	1.167
260.0	1.149
261.0	1.132
262.0	1.118
263.0	1.105
264.0	1.094
265.0	1.084
266.0	1.076
267.0	1.068
268.0	1.062
269.0	1.056
270.0	1.050
271.0	1.045
272.0	1.040
273.0	1.036
274.0	1.030
275.0	1.023
276.0	1.015
277.0	1.006
278.0	0.993
279.0	0.976
280.0	0.955
281.0	0.938
282.0	0.925
283.0	0.915
284.0	0.904
285.0	0.883
286.0	0.854
287.0	0.821
288.0	0.789
289.0	0.762
290.0	0.736
291.0	0.714
292.0	0.695
293.0	0.677
294.0	0.661
295.0	0.646
296.0	0.632
297.0	0.619
298.0	0.606
299.0	0.594
300.0	0.584
301.0	0.573
302.0	0.564
303.0	0.555
304.0	0.546
305.0	0.538
306.0	0.530
307.0	0.523
308.0	0.517
309.0	0.511
310.0	0.506
311.0	0.502
312.0	0.497
313.0	0.494
314.0	0.491
315.0	0.488
316.0	0.485
317.0	0.483
318.0	0.481
319.0	0.479
320.0	0.477
321.0	0.476
322.0	0.475
323.0	0.474
324.0	0.473
325.0	0.472
326.0	0.472
327.0	0.471
328.0	0.471
329.0	0.471
330.0	0.472
331.0	0.471
332.0	0.472
333.0	0.472
334.0	0.472
335.0	0.472
336.0	0.472
337.0	0.472
338.0	0.472
339.0	0.472
340.0	0.473
341.0	0.473
342.0	0.473
343.0	0.474
344.0	0.474
345.0	0.474
346.0	0.473
347.0	0.474
348.0	0.473
349.0	0.474
350.0	0.474
351.0	0.474
352.0	0.474
353.0	0.474
354.0	0.474
355.0	0.474
356.0	0.473
357.0	0.472
358.0	0.471
359.0	0.470
360.0	0.468
361.0	0.467
362.0	0.466
363.0	0.465
364.0	0.465
365.0	0.463
366.0	0.462
367.0	0.460
368.0	0.460
369.0	0.459
370.0	0.458
371.0	0.457
372.0	0.456
373.0	0.456
374.0	0.455
375.0	0.455
376.0	0.455
377.0	0.455
378.0	0.455
379.0	0.455
380.0	0.456
381.0	0.457
382.0	0.458
383.0	0.459
384.0	0.460
385.0	0.462
386.0	0.464
387.0	0.466
388.0	0.468
389.0	0.470
390.0	0.473
391.0	0.475
392.0	0.478
393.0	0.480
394.0	0.483
395.0	0.486
396.0	0.488
397.0	0.491
398.0	0.493
399.0	0.496
400.0	0.498
401.0	0.501
402.0	0.503
403.0	0.505
404.0	0.507
405.0	0.509
406.0	0.511
407.0	0.513
408.0	0.514
409.0	0.516
410.0	0.517
411.0	0.518
412.0	0.519
413.0	0.520
414.0	0.520
415.0	0.520
416.0	0.520
417.0	0.520
418.0	0.520
419.0	0.519
420.0	0.518
421.0	0.518
422.0	0.516
423.0	0.515
424.0	0.514
425.0	0.512
426.0	0.511
427.0	0.509
428.0	0.507
429.0	0.504
430.0	0.502
431.0	0.499
432.0	0.496
433.0	0.493
434.0	0.490
435.0	0.487
436.0	0.483
437.0	0.479
438.0	0.475
439.0	0.471
440.0	0.467
441.0	0.462
442.0	0.458
443.0	0.453
444.0	0.448
445.0	0.443
446.0	0.438
447.0	0.432
448.0	0.427
449.0	0.422
450.0	0.416
451.0	0.410
452.0	0.405
453.0	0.399
454.0	0.393
455.0	0.388
456.0	0.382
457.0	0.376
458.0	0.370
459.0	0.365
460.0	0.359
461.0	0.353
462.0	0.348
463.0	0.342
464.0	0.337
465.0	0.332
466.0	0.326
467.0	0.321
468.0	0.316
469.0	0.311
470.0	0.306
471.0	0.301
472.0	0.296
473.0	0.291
474.0	0.287
475.0	0.282
476.0	0.277
477.0	0.273
478.0	0.269
479.0	0.264
480.0	0.260
481.0	0.256
482.0	0.253
483.0	0.249
484.0	0.246
485.0	0.243
486.0	0.239
487.0	0.237
488.0	0.234
489.0	0.231
490.0	0.229
491.0	0.227
492.0	0.224
493.0	0.222
494.0	0.221
495.0	0.219
496.0	0.217
497.0	0.216
498.0	0.214
499.0	0.213
500.0	0.212
501.0	0.210
502.0	0.209
503.0	0.208
504.0	0.207
505.0	0.206
506.0	0.205
507.0	0.205
508.0	0.204
509.0	0.203
510.0	0.202
511.0	0.202
512.0	0.201
513.0	0.200
514.0	0.200
515.0	0.199
516.0	0.198
517.0	0.198
518.0	0.197
519.0	0.196
520.0	0.196
521.0	0.195
522.0	0.194
523.0	0.194
524.0	0.193
525.0	0.192
526.0	0.192
527.0	0.191
528.0	0.190
529.0	0.190
530.0	0.189
531.0	0.189
532.0	0.188
533.0	0.187
534.0	0.187
535.0	0.186
536.0	0.185
537.0	0.185
538.0	0.184
539.0	0.184
540.0	0.183
541.0	0.183
542.0	0.182
543.0	0.182
544.0	0.181
545.0	0.181
546.0	0.180
547.0	0.180
548.0	0.180
549.0	0.179
550.0	0.179
551.0	0.178
552.0	0.178
553.0	0.178
554.0	0.177
555.0	0.177
556.0	0.176
557.0	0.176
558.0	0.175
559.0	0.175
560.0	0.175
561.0	0.174
562.0	0.174
563.0	0.174
564.0	0.173
565.0	0.173
566.0	0.172
567.0	0.172
568.0	0.172
569.0	0.171
570.0	0.171
571.0	0.171
572.0	0.170
573.0	0.170
574.0	0.169
575.0	0.169
576.0	0.169
577.0	0.168
578.0	0.168
579.0	0.167
580.0	0.167
581.0	0.167
582.0	0.166
583.0	0.166
584.0	0.165
585.0	0.165
586.0	0.165
587.0	0.164
588.0	0.164
589.0	0.163
590.0	0.163
591.0	0.163
592.0	0.162
593.0	0.162
594.0	0.161
595.0	0.161
596.0	0.161
597.0	0.160
598.0	0.160
599.0	0.159
600.0	0.159
601.0	0.159
602.0	0.158
603.0	0.158
604.0	0.157
605.0	0.157
606.0	0.157
607.0	0.156
608.0	0.156
609.0	0.155
610.0	0.155
611.0	0.155
612.0	0.154
613.0	0.154
614.0	0.153
615.0	0.153
616.0	0.152
617.0	0.152
618.0	0.152
619.0	0.151
620.0	0.151
621.0	0.151
622.0	0.150
623.0	0.150
624.0	0.149
625.0	0.149
626.0	0.149
627.0	0.148
628.0	0.148
629.0	0.147
630.0	0.147
631.0	0.147
632.0	0.146
633.0	0.146
634.0	0.145
635.0	0.145
636.0	0.144
637.0	0.144
638.0	0.143
639.0	0.143
640.0	0.143
641.0	0.142
642.0	0.142
643.0	0.141
644.0	0.141
645.0	0.140
646.0	0.140
647.0	0.139
648.0	0.139
649.0	0.139
650.0	0.138
651.0	0.138
652.0	0.137
653.0	0.137
654.0	0.136
655.0	0.136
656.0	0.136
657.0	0.135
658.0	0.135
659.0	0.134
660.0	0.134
661.0	0.133
662.0	0.133
663.0	0.133
664.0	0.132
665.0	0.132
666.0	0.131
667.0	0.131
668.0	0.131
669.0	0.130
670.0	0.130
671.0	0.129
672.0	0.129
673.0	0.129
674.0	0.128
675.0	0.128
676.0	0.127
677.0	0.127
678.0	0.126
679.0	0.126
680.0	0.125
681.0	0.125
682.0	0.125
683.0	0.124
684.0	0.124
685.0	0.123
686.0	0.123
687.0	0.122
688.0	0.122
689.0	0.122
690.0	0.121
691.0	0.121
692.0	0.120
693.0	0.120
694.0	0.120
695.0	0.119
696.0	0.119
697.0	0.118
698.0	0.118
699.0	0.118
700.0	0.117
701.0	0.117
702.0	0.116
703.0	0.116
704.0	0.116
705.0	0.115
706.0	0.115
707.0	0.114
708.0	0.114
709.0	0.114
710.0	0.113
711.0	0.113
712.0	0.113
713.0	0.112
714.0	0.112
715.0	0.112
716.0	0.111
717.0	0.111
718.0	0.111
719.0	0.110
720.0	0.110
721.0	0.109
722.0	0.109
723.0	0.109
724.0	0.108
725.0	0.108
726.0	0.108
727.0	0.108
728.0	0.107
729.0	0.107
730.0	0.107
731.0	0.107
732.0	0.107
733.0	0.107
734.0	0.107
735.0	0.107
736.0	0.107
737.0	0.107
738.0	0.107
739.0	0.107
740.0	0.107
741.0	0.107
742.0	0.107
743.0	0.106
744.0	0.106
745.0	0.105
746.0	0.104
747.0	0.103
748.0	0.102
749.0	0.101
750.0	0.100
751.0	0.100
752.0	0.099
753.0	0.099
754.0	0.098
755.0	0.098
756.0	0.097
757.0	0.097
758.0	0.097
759.0	0.096
760.0	0.096
761.0	0.096
762.0	0.095
763.0	0.095
764.0	0.095
765.0	0.094
766.0	0.094
767.0	0.094
768.0	0.093
769.0	0.093
770.0	0.093
771.0	0.092
772.0	0.092
773.0	0.092
774.0	0.092
775.0	0.091
776.0	0.091
777.0	0.091
778.0	0.090
779.0	0.090
780.0	0.090
781.0	0.089
782.0	0.089
783.0	0.089
784.0	0.089
785.0	0.088
786.0	0.088
787.0	0.088
788.0	0.087
789.0	0.087
790.0	0.087
791.0	0.086
792.0	0.086
793.0	0.086
794.0	0.085
795.0	0.085
796.0	0.085
797.0	0.084
798.0	0.084
799.0	0.084
800.0	0.084
801.0	0.084
802.0	0.083
803.0	0.083
804.0	0.083
805.0	0.083
806.0	0.083
807.0	0.082
808.0	0.082
809.0	0.082
810.0	0.081
811.0	0.081
812.0	0.080
813.0	0.080
814.0	0.080
815.0	0.079
816.0	0.079
817.0	0.078
818.0	0.078
819.0	0.078
820.0	0.077
821.0	0.077
822.0	0.077
823.0	0.076
824.0	0.076
825.0	0.076
826.0	0.075
827.0	0.075
828.0	0.075
829.0	0.074
830.0	0.074
831.0	0.074
832.0	0.073
833.0	0.073
834.0	0.073
835.0	0.073
836.0	0.072
837.0	0.072
838.0	0.072
839.0	0.071
840.0	0.071
841.0	0.071
842.0	0.070
843.0	0.070
844.0	0.070
845.0	0.069
846.0	0.069
847.0	0.069
848.0	0.069
849.0	0.068
850.0	0.068
851.0	0.068
852.0	0.068
853.0	0.068
854.0	0.067
855.0	0.067
856.0	0.067
857.0	0.067
858.0	0.066
859.0	0.066
860.0	0.066
861.0	0.066
862.0	0.066
863.0	0.066
864.0	0.066
865.0	0.066
866.0	0.066
867.0	0.066
868.0	0.066
869.0	0.066
870.0	0.066
871.0	0.066
872.0	0.066
873.0	0.066
874.0	0.066
875.0	0.067
876.0	0.067
877.0	0.067
878.0	0.068
879.0	0.068
880.0	0.068
881.0	0.068
882.0	0.068
883.0	0.067
884.0	0.067
885.0	0.067
886.0	0.067
887.0	0.068
888.0	0.068
889.0	0.069
890.0	0.070
891.0	0.071
892.0	0.072
893.0	0.073
894.0	0.075
895.0	0.077
896.0	0.080
897.0	0.083
898.0	0.087
899.0	0.090
900.0	0.093
