Summary
[Data Information]
Data is:	Measurement Data
Dataset Name:	RawData
Sample Name:	1g-20ml-PVB
Sample ID:	1g-20ml-PVB
Option
Analyst
Date/Time:	05/28/2025 04:29:16 PM
Comments
Parameter File Name:	200-800nm.vspm
Report File Name
[Software Information]
Software Name:	LabSolutions UV-Vis
Version:	1.14
[Instrument Information]
Instrument Name:	BNT
Instrument Type:	UV-1900 Series
Model (S/N):	SBN-SPEC-158 (A12425600028)

Parameter
[Measurement]
Start:	900 nm
End:	190 nm
Data Interval:	1.0
Scan Speed:	High speed
Spectrum Type:	Absorbance
[Accessories]
Accessories:	6-Series Multi-Cell
Number of Cell:	1
[Advanced]
Light Source Switch Wavelength:	340.00
S/R Switch:	Standard
[Repeat]
Repeat Measurement:	OFF
[Post-processing]
Spectrum Transformation:	OFF
Data Processing Table:	OFF
Print:	OFF

Wavelength (nm)	Absorbance
190.0	3.210
191.0	3.036
192.0	1.821
193.0	2.739
194.0	1.259
195.0	3.527
196.0	0.507
197.0	2.826
198.0	2.322
199.0	2.072
200.0	1.714
201.0	3.238
202.0	3.238
203.0	3.619
204.0	4.000
205.0	4.000
206.0	4.000
207.0	4.000
208.0	4.000
209.0	4.000
210.0	4.000
211.0	4.000
212.0	4.000
213.0	4.000
214.0	4.000
215.0	4.000
216.0	4.000
217.0	4.000
218.0	4.000
219.0	4.000
220.0	4.000
221.0	4.000
222.0	4.000
223.0	4.000
224.0	4.000
225.0	4.000
226.0	4.000
227.0	4.000
228.0	4.000
229.0	4.000
230.0	4.000
231.0	4.000
232.0	4.000
233.0	4.000
234.0	4.000
235.0	4.000
236.0	4.000
237.0	4.000
238.0	4.000
239.0	4.000
240.0	4.000
241.0	4.000
242.0	4.000
243.0	4.000
244.0	4.000
245.0	4.000
246.0	4.000
247.0	4.000
248.0	4.000
249.0	4.000
250.0	4.000
251.0	4.000
252.0	4.000
253.0	4.000
254.0	3.989
255.0	3.999
256.0	3.981
257.0	4.000
258.0	4.000
259.0	3.997
260.0	3.999
261.0	4.000
262.0	3.970
263.0	3.969
264.0	3.901
265.0	3.949
266.0	3.902
267.0	3.919
268.0	3.959
269.0	3.960
270.0	4.000
271.0	3.931
272.0	3.898
273.0	3.853
274.0	3.841
275.0	3.911
276.0	3.892
277.0	3.913
278.0	3.890
279.0	3.833
280.0	3.809
281.0	3.693
282.0	3.758
283.0	3.575
284.0	3.682
285.0	3.626
286.0	3.560
287.0	3.585
288.0	3.353
289.0	3.207
290.0	3.169
291.0	3.142
292.0	3.040
293.0	2.991
294.0	2.956
295.0	2.949
296.0	2.904
297.0	2.858
298.0	2.809
299.0	2.789
300.0	2.754
301.0	2.714
302.0	2.688
303.0	2.659
304.0	2.653
305.0	2.645
306.0	2.614
307.0	2.617
308.0	2.630
309.0	2.616
310.0	2.591
311.0	2.540
312.0	2.566
313.0	2.525
314.0	2.526
315.0	2.523
316.0	2.504
317.0	2.527
318.0	2.494
319.0	2.479
320.0	2.514
321.0	2.471
322.0	2.472
323.0	2.466
324.0	2.491
325.0	2.489
326.0	2.447
327.0	2.495
328.0	2.522
329.0	2.474
330.0	2.485
331.0	2.493
332.0	2.495
333.0	2.465
334.0	2.472
335.0	2.501
336.0	2.496
337.0	2.493
338.0	2.480
339.0	2.499
340.0	2.504
341.0	2.497
342.0	2.508
343.0	2.520
344.0	2.521
345.0	2.514
346.0	2.505
347.0	2.509
348.0	2.475
349.0	2.531
350.0	2.577
351.0	2.567
352.0	2.523
353.0	2.573
354.0	2.600
355.0	2.622
356.0	2.572
357.0	2.573
358.0	2.574
359.0	2.662
360.0	2.641
361.0	2.672
362.0	2.771
363.0	2.753
364.0	2.669
365.0	2.694
366.0	2.668
367.0	2.735
368.0	2.692
369.0	2.703
370.0	2.657
371.0	2.710
372.0	2.700
373.0	2.736
374.0	2.740
375.0	2.724
376.0	2.749
377.0	2.745
378.0	2.742
379.0	2.731
380.0	2.771
381.0	2.769
382.0	2.789
383.0	2.780
384.0	2.820
385.0	2.811
386.0	2.807
387.0	2.833
388.0	2.863
389.0	2.888
390.0	2.905
391.0	2.917
392.0	2.928
393.0	2.916
394.0	2.961
395.0	2.960
396.0	2.959
397.0	2.956
398.0	2.989
399.0	2.992
400.0	2.973
401.0	2.995
402.0	3.015
403.0	2.997
404.0	3.007
405.0	2.996
406.0	3.022
407.0	2.993
408.0	3.027
409.0	3.023
410.0	2.981
411.0	3.011
412.0	2.993
413.0	2.996
414.0	2.964
415.0	2.958
416.0	2.948
417.0	2.929
418.0	2.927
419.0	2.892
420.0	2.887
421.0	2.880
422.0	2.866
423.0	2.821
424.0	2.826
425.0	2.786
426.0	2.784
427.0	2.770
428.0	2.755
429.0	2.714
430.0	2.708
431.0	2.681
432.0	2.658
433.0	2.631
434.0	2.608
435.0	2.587
436.0	2.564
437.0	2.536
438.0	2.513
439.0	2.496
440.0	2.475
441.0	2.436
442.0	2.412
443.0	2.390
444.0	2.365
445.0	2.338
446.0	2.316
447.0	2.289
448.0	2.259
449.0	2.232
450.0	2.205
451.0	2.180
452.0	2.155
453.0	2.128
454.0	2.103
455.0	2.074
456.0	2.050
457.0	2.023
458.0	1.998
459.0	1.971
