timestamp,elapsed_time,Test_fast_Dissolving_1_avg_intensity,Test_fast_Dissolving_1_std_intensity,Test_fast_Dissolving_1_min_intensity,Test_fast_Dissolving_1_max_intensity
15_04_06,0.00,214.84755357142856,2.6314389220921566,183,231
15_04_08,2.06,216.52205714285714,2.6411954646426645,186,232
15_04_10,4.08,215.13302142857142,2.323678951785161,188,230
15_04_12,6.16,217.89389642857142,2.679693991722368,192,233
15_04_14,8.25,217.05515357142858,3.0676557262814295,183,236
15_04_16,10.33,219.9756642857143,2.542646383230091,194,234
15_04_18,12.44,219.985925,2.7333910979541516,193,235
15_04_20,14.52,218.94857142857143,2.559692663311798,183,236
15_04_22,16.62,218.48002142857143,2.299944284939644,191,232
15_04_24,18.71,218.80257142857144,2.3006242542370265,188,231
15_04_26,20.79,218.73684642857143,2.357685801946801,191,232
15_04_29,22.88,217.98142142857142,2.9623478588247654,190,237
15_04_31,24.98,218.89153214285713,3.2381259586320663,189,239
15_04_33,27.06,219.91947142857143,3.1579651234002326,194,240
15_04_35,29.16,220.8403,3.791278928013607,191,240
15_04_37,31.25,220.10636785714286,3.057265962372447,192,241
15_04_39,33.32,222.0848892857143,2.2873419278466445,199,235
15_04_41,35.43,218.58623571428572,2.5910090094972498,195,233
15_04_43,37.51,218.26464285714286,2.404015958680773,194,232
15_04_45,39.63,219.486175,3.117272436089533,194,238
15_04_47,41.71,219.37952142857142,2.927234052743445,193,234
15_04_49,43.79,218.42998214285714,3.2372802186352105,178,237
15_04_52,45.86,219.4473,2.8157505715934024,192,238
15_04_54,47.98,219.03096785714285,2.3640918504868345,191,233
15_04_56,50.04,219.0175357142857,2.770422801437443,190,234
15_04_58,52.15,219.7630107142857,2.538460656978568,191,233
15_05_00,54.22,219.42594285714284,2.9646358190495907,191,236
15_05_02,56.33,218.97242142857144,3.045197060402442,190,238
15_05_04,58.41,218.85108571428572,2.786464009881941,190,237
15_05_06,60.51,218.29228571428573,2.2671310828751774,190,232
15_05_08,62.58,218.37301428571428,2.3260288782930147,189,233
15_05_10,64.69,218.65029285714286,2.651371192411386,189,233
15_05_12,66.78,218.33261071428572,2.387734006159589,191,232
15_05_15,68.88,219.914675,3.600581550460683,192,239
15_05_17,70.94,219.41387142857144,3.0299156773812723,192,237
15_05_19,73.05,219.631025,3.3177160204321505,193,239
15_05_21,75.14,218.42982142857142,2.2345381362594727,194,231
15_05_23,77.23,218.8564607142857,2.4088942428958218,191,234
15_05_25,79.31,218.96901428571428,2.4893237520766682,193,234
15_05_27,81.42,219.94819285714286,2.651098482291091,195,233
15_05_29,83.49,217.9564,2.650910713590439,195,234
15_05_31,85.59,218.59276785714286,4.384479263310001,180,238
15_05_33,87.68,219.04471785714287,2.7395262153666504,196,238
15_05_35,89.77,219.53914285714285,2.23434313956163,198,232
15_05_38,91.85,219.58833214285715,2.3203935019661728,197,233
15_05_40,93.96,221.5218857142857,6.839069455379892,133,239
15_05_42,96.03,216.4559607142857,13.140526320124518,102,237
15_05_44,98.14,220.76451428571428,2.914357938320731,197,241
15_05_46,100.22,220.1199,3.2818835604399066,202,238
15_05_48,102.31,218.61337857142857,2.9205580948262444,190,236
15_05_50,104.40,217.79988571428572,2.512273583503068,199,235
15_05_52,106.48,218.94464285714287,2.4436067928705847,195,233
15_05_54,108.58,220.01774642857143,3.1270654991063953,197,235
15_05_56,110.66,217.98705714285714,4.956826135703354,170,240
15_05_58,112.77,219.23150357142856,2.6174351588342226,199,234
15_06_01,114.84,218.76512857142856,2.460390441845873,199,232
15_06_03,116.94,217.15211785714285,2.512589617528038,200,232
15_06_05,119.02,218.56154285714285,2.647088355618108,200,233
15_06_07,121.12,218.40736071428572,2.509837095999785,202,234
15_06_09,123.20,218.09005,2.8457358320953525,196,234
15_06_11,125.30,218.54171071428573,2.578312613047434,198,232
15_06_13,127.38,218.5638857142857,2.513402085636445,201,232
15_06_15,129.48,218.74993571428573,2.613099554471974,202,234
15_06_17,131.56,218.60952857142857,2.476219019977425,202,231
15_06_19,133.66,218.53424285714286,2.6375622399465457,202,234
15_06_21,135.75,218.38862142857144,2.405253586178915,203,231
15_06_23,137.84,219.32795,2.778905015147924,205,234
15_06_26,139.93,219.0163357142857,2.5736433877474,197,233
15_06_28,142.02,218.65538571428573,2.8475587779853875,203,238
15_06_30,144.10,219.22492857142856,2.6003310219026705,203,234
15_06_32,146.21,218.89741785714287,2.6524385903156,204,233
15_06_34,148.28,218.04529285714287,2.6981657764288385,199,233
15_06_36,150.39,219.17771428571427,2.781760065358709,201,234
15_06_38,152.46,219.1730107142857,2.9907654550345573,198,237
15_06_40,154.57,217.71438928571428,2.8170110968693756,201,233
15_06_42,156.64,218.3815,2.7919170129398294,200,234
15_06_44,158.75,217.91870714285713,2.729605944863598,201,233
15_06_46,160.82,218.11223928571428,2.431762776235627,202,231
15_06_49,162.92,218.52726785714285,2.904236935625699,203,237
15_06_51,165.01,219.07716071428572,2.7488503718878667,201,235
15_06_53,167.10,218.70046785714285,2.572116651091855,201,231
15_06_55,169.18,218.3799642857143,2.5083429359716294,201,232
15_06_57,171.29,218.47829642857144,2.683093967922393,203,233
15_06_59,173.36,218.57728214285714,3.020987120906199,202,236
15_07_01,175.46,218.7663107142857,3.0444387290410697,197,238
15_07_03,177.54,218.96905714285714,2.601731505229954,199,233
15_07_05,179.65,218.2000392857143,2.751960729298202,198,233
15_07_07,181.72,218.8106857142857,2.664071017622987,199,233
15_07_09,183.82,218.34872857142858,2.859723230471431,201,233
15_07_12,185.90,218.18353214285713,2.4425188014415378,200,231
15_07_14,188.01,218.61959285714286,2.792293804630442,197,233
15_07_16,190.09,218.32239285714286,2.817387085318666,202,232
15_07_18,192.19,219.052275,2.49971559155451,202,234
15_07_20,194.29,219.27199285714286,3.0197951491460673,201,235
15_07_22,196.36,218.54731785714284,2.542364679437738,201,232
15_07_24,198.45,218.56906785714287,2.575053603263653,202,232
15_07_26,200.53,218.44512142857144,2.6891851765593473,200,235
15_07_28,202.63,219.06897142857142,2.6527021424062163,202,235
15_07_30,204.72,219.15480357142857,2.6604477598412615,203,233
15_07_32,206.82,218.35641785714284,2.6576369519278873,201,233
15_07_35,208.90,218.35417142857142,2.5874998466331416,193,231
15_07_37,210.99,218.3976607142857,2.9869713924259336,200,236
15_07_39,213.08,218.023325,2.4239406113253152,202,231
15_07_41,215.18,217.99127857142858,2.8883563679214252,201,234
15_07_43,217.25,218.179825,2.5857760864728796,197,232
15_07_45,219.38,218.95077142857141,2.6365964487326057,201,234
15_07_47,221.43,218.55076428571428,2.733637318170777,201,233
15_07_49,223.54,218.7589142857143,2.884840766800816,202,234
15_07_51,225.61,218.44364285714286,2.608486619455341,200,233
15_07_53,227.72,218.43311428571428,2.5733714436394086,198,232
15_07_55,229.79,218.1722892857143,2.468090349532738,200,233
15_07_58,231.89,218.72795357142857,2.520880236995197,203,232
15_08_00,233.98,218.65196428571429,2.666277447546658,201,237
15_08_02,236.08,218.49595357142857,2.4337532855627018,201,233
15_08_04,238.16,218.90168214285714,3.4090993823833933,200,239
15_08_06,240.25,218.2737642857143,2.3901157118155067,199,231
15_08_08,242.35,218.02898214285713,3.1020925022536425,200,238
15_08_10,244.43,218.8636642857143,2.7443783582097794,197,237
15_08_12,246.51,218.93390714285715,2.9916985653075523,201,239
15_08_14,248.63,218.58862857142856,2.3411707948401044,200,234
15_08_16,250.69,218.7540642857143,2.6673919678504436,199,238
15_08_18,252.80,218.78618214285714,2.4105600554870428,202,235
15_08_21,254.88,219.31448571428572,2.9350259465529045,201,238
15_08_23,256.98,219.51214642857144,2.385522322257171,200,232
15_08_25,259.06,219.30754642857144,3.3885538710680256,201,239
15_08_27,261.17,218.98381785714287,2.3218555377655496,199,232
15_08_29,263.25,219.27001785714285,3.0426810897573273,203,239
15_08_31,265.35,219.2863,2.468995636459721,203,233
15_08_33,267.42,218.26609285714287,3.3099603394180437,200,238
15_08_35,269.52,219.05993928571428,2.7122559396244412,203,234
15_08_37,271.59,218.19642857142858,2.515627178665554,202,233
15_08_39,273.70,219.12900714285715,3.210512867343401,202,240
15_08_41,275.77,218.8951142857143,2.5141966313764104,204,232
15_08_44,277.88,218.21005357142857,2.9351178482037796,199,233
15_08_46,279.95,218.59529642857143,2.5201850877298306,201,232
15_08_48,282.06,218.72993571428572,3.390932382758284,182,238
15_08_50,284.14,218.41962142857142,2.4419905521282574,195,234
15_08_52,286.24,218.422625,2.7735405883255586,201,234
15_08_54,288.31,218.87302142857143,2.558591551637784,199,232
15_08_56,290.43,218.47548214285715,2.9432463156659385,203,235
15_08_58,292.53,219.02946785714286,2.465238224297657,195,232
15_09_00,294.60,218.8365,2.551574422922891,201,236
15_09_02,296.68,217.97405357142858,2.500084640850349,202,233
15_09_04,298.79,218.2557,5.164253819285029,178,240
15_09_07,300.86,218.56682857142857,2.5555133002500887,200,232
15_09_09,302.96,217.96017142857144,2.8560523653234,203,236
